,MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1,MCL1-DH_BC2CTUACXX_CAGATC_L002_R1,MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1,MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1,MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1,MCL1-DL_BC2CTUACXX_ATCACG_L002_R1,MCL1-LA_BC2CTUACXX_GATCAG_L001_R1,MCL1-LB_BC2CTUACXX_TGACCA_L001_R1,MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1,MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1,MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1,MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
5941,0,0,0,0,0,0,0,0,0,0,0,0
5942,0,0,0,0,0,0,0,5,0,0,0,0
5943,0,0,0,0,0,0,0,2,0,0,0,0
5944,0,0,0,0,0,0,0,0,0,0,0,0
5945,0,0,0,0,0,0,0,0,0,0,0,0
5946,0,0,0,0,0,0,0,0,0,0,0,0
5947,0,0,0,0,0,0,0,0,0,0,0,0
5948,0,0,0,0,1,0,0,0,5,6,46,38
5949,0,1,1,3,0,1,0,0,0,0,0,0
5950,0,0,0,0,0,0,0,0,0,0,0,0
5951,0,0,0,0,0,0,0,0,0,0,0,0
5952,0,0,0,0,0,0,0,0,0,0,0,0
5953,0,0,0,0,0,0,0,0,0,0,0,0
5954,0,0,0,0,0,0,0,0,0,0,0,0
5955,0,2,0,0,0,0,2,6,0,0,1,0
5956,0,0,0,0,0,0,0,0,0,0,0,0
5957,0,0,0,0,0,0,0,0,0,0,0,0
5958,0,0,0,0,0,0,0,0,0,1,1,0
5959,0,0,0,0,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,0,0,0,0,0,0,0
5961,0,0,0,1,0,0,0,0,0,0,0,0
5962,0,0,0,0,0,0,0,0,0,0,0,0
5963,0,0,0,0,0,0,0,0,0,0,0,0
5964,1358,1607,1517,1230,698,674,2603,2750,1929,1720,593,661
5965,673,772,377,540,706,594,475,493,62,112,23,24
5966,6737,7826,8018,7787,2396,2330,5262,5501,7342,6177,887,700
5967,14,14,19,18,14,18,4,2,0,3,0,1
5968,524,470,373,308,345,345,433,420,421,297,178,181
5969,517,578,768,533,296,202,709,833,541,500,200,193
5970,85,47,18,11,5,7,3939,3270,304,376,152,179
5971,45,47,22,42,42,39,2594,2301,434,162,89,84
5972,1313,1278,1671,1432,942,930,2116,2337,2747,2168,2346,2200
5973,0,0,0,0,0,0,0,0,0,0,0,0
5974,215,166,214,220,257,262,364,385,322,352,253,274
5975,57,39,11,6,13,23,116,155,17,14,12,7
5976,911,709,652,563,579,598,898,928,502,479,236,304
5977,0,0,0,0,0,0,0,0,0,0,0,0
5978,0,0,0,1,0,0,0,0,2,0,0,1
5979,0,0,0,0,0,0,0,0,0,0,0,0
5980,82,46,42,23,5,12,257,321,423,291,38,29
5981,0,0,0,0,0,0,0,0,0,0,0,0
5982,0,0,0,0,0,0,0,0,0,0,0,0
5983,1,0,3,2,3,2,1,1,1,0,0,0
5984,546,539,567,643,283,360,665,941,1023,1031,175,201
5985,220,255,194,227,147,169,802,818,962,995,1318,1320
5986,0,0,0,0,0,0,0,0,0,1,0,0
5987,2,7,0,1,1,0,1,1,1,0,0,0
5988,1209,1012,888,813,786,824,914,940,643,510,283,278
5989,0,0,0,0,0,0,0,0,0,0,0,0
5990,18,29,3,3,2,2,6,8,1,1,0,5
5991,0,0,0,1,0,0,0,0,0,0,0,0
5992,587,584,684,983,1232,1227,11,34,26,20,33,27
5993,811,700,1545,2393,2320,2085,303,246,123,98,41,48
5994,0,0,1,4,2,2,1,0,1,0,0,0
5995,0,0,0,0,0,0,0,0,0,0,0,0
5996,3,7,2,4,5,5,1,1,0,0,0,0
5997,1,1,3,2,5,3,1,2,3,3,0,2
5998,0,0,0,1,0,0,0,0,0,2,0,0
5999,0,0,1,0,0,0,0,0,0,1,0,0
6000,0,0,0,0,0,0,0,0,0,0,0,0
6001,0,0,0,0,0,0,0,0,0,0,0,0
6002,0,0,0,0,0,0,0,0,0,0,0,0
6003,2,0,0,0,0,0,0,0,0,0,0,0
6004,0,2,3,1,1,0,0,1,0,0,0,0
6005,7,9,5,9,16,9,2,4,0,1,0,0
6006,3122,2835,2027,2364,3246,2809,1278,1304,373,433,221,187
6007,19,21,17,14,24,36,6,4,1,2,0,0
6008,282,250,357,324,281,312,309,318,258,214,201,178
6009,8719,8570,7545,6826,7990,6353,2173,2474,1850,1776,1281,1212
6010,352,417,492,485,436,412,482,501,371,367,151,170
6011,9049,9360,8475,8191,10824,9621,9673,10730,8447,9148,2142,1725
6012,3,14,4,2,3,3,17,8,15,14,0,2
6013,533,422,207,187,273,273,725,809,735,1081,88,79
6014,0,0,0,0,0,0,0,0,0,0,0,0
6015,233,196,244,218,111,112,292,253,238,183,79,57
6016,325,364,533,457,590,610,1772,1851,1698,2148,533,600
6017,12954,13268,11090,10491,12902,10970,1557,1808,1064,1491,429,270
6018,1,0,0,0,0,2,1,0,0,0,0,1
6019,3301,3150,3409,2859,2494,2343,3036,3196,3139,2893,1289,1510
6020,1,0,1,2,0,3,1,2,0,0,0,2
6021,0,0,1,0,2,0,0,0,0,0,0,0
6022,27,34,36,48,36,33,69,84,82,78,33,29
6023,1262,1493,1421,1762,1104,1070,1562,1936,2054,2407,695,623
6024,0,0,0,0,0,0,1,3,0,4,3,1
6025,0,0,0,0,0,0,0,0,0,0,0,0
6026,592,564,419,346,537,586,296,318,373,385,189,211
6027,98,63,92,78,88,67,83,84,102,94,50,44
6028,3,2,3,2,0,1,0,1,0,0,0,0
6029,173,102,133,124,106,109,224,249,115,141,58,56
6030,998,831,890,829,814,680,1311,1263,1334,1139,1133,1089
6031,481,470,498,469,396,370,676,742,568,523,352,345
6032,9,6,1,2,6,0,0,0,0,0,0,0
6033,4,12,2,6,2,1,7,3,2,0,0,0
6034,1,0,4,7,2,1,1,1,1,0,0,0
6035,3,0,4,3,4,3,17,22,60,59,163,157
6036,877,689,627,558,762,865,1280,1346,1544,1583,1640,1918
6037,4048,3960,3942,3335,2155,2023,3122,3303,4774,3370,4468,4689
6038,0,0,0,0,0,0,0,0,0,0,0,0
6039,40,88,92,71,57,56,70,82,82,71,23,38
6040,748,780,965,754,418,389,783,853,683,625,233,229
